d d_d theta d_theta
2.640390209853649139e-02 2.316412478685379028e-01 5.048241838812828064e-02 -3.334164917469024658e-01
3.103672713041305542e-02 4.263719320297241211e-01 4.381408542394638062e-02 -6.175341606140136719e-01
3.956416621804237366e-02 2.309748530387878418e-01 3.146340325474739075e-02 -3.185842037200927734e-01
4.418366402387619019e-02 3.574316948652267456e-02 2.509172074496746063e-02 -2.346259169280529022e-02
4.489852488040924072e-02 -1.593987345695495605e-01 2.462246827781200409e-02 2.696596384048461914e-01
4.171055182814598083e-02 3.571001440286636353e-02 3.001566231250762939e-02 -2.273166179656982422e-02
4.242475330829620361e-02 2.307408004999160767e-01 2.956102788448333740e-02 -3.134147226810455322e-01
4.703956842422485352e-02 4.257787466049194336e-01 2.329273335635662079e-02 -6.042429804801940918e-01
5.555514246225357056e-02 2.306624650955200195e-01 1.120787486433982849e-02 -3.116878271102905273e-01
6.016839295625686646e-02 3.572067245841026306e-02 4.974117502570152283e-03 -2.297004498541355133e-02
6.088280677795410156e-02 -1.591278165578842163e-01 4.514716565608978271e-03 2.637468576431274414e-01
5.770025029778480530e-02 3.626262024044990540e-02 9.789654053747653961e-03 -3.492450341582298279e-02
5.842550098896026611e-02 2.315812408924102783e-01 9.091163985431194305e-03 -3.319630920886993408e-01
6.305712461471557617e-02 4.269080162048339844e-01 2.451902255415916443e-03 -6.292163729667663574e-01
7.159528881311416626e-02 2.320889085531234741e-01 -1.013242453336715698e-02 -3.432996571063995361e-01
7.623706758022308350e-02 3.746417909860610962e-02 -1.699841767549514771e-02 -6.147393956780433655e-02
7.698635011911392212e-02 -1.570513546466827393e-01 -1.822789758443832397e-02 2.180962413549423218e-01
7.384531944990158081e-02 -3.515496850013732910e-01 -1.386597380042076111e-02 4.972646236419677734e-01
6.681432574987411499e-02 -1.559187471866607666e-01 -3.920679911971092224e-03 1.929839551448822021e-01
6.369595229625701904e-02 3.958718478679656982e-02 -6.100162863731384277e-05 -1.082820519804954529e-01
6.448769569396972656e-02 2.350414097309112549e-01 -2.226641401648521423e-03 -4.083652198314666748e-01
6.918852776288986206e-02 4.029645025730133057e-02 -1.039394736289978027e-02 -1.239670366048812866e-01
6.999445706605911255e-02 -1.543209105730056763e-01 -1.287328824400901794e-02 1.577681899070739746e-01
6.690803915262222290e-02 -3.489007055759429932e-01 -9.717922657728195190e-03 4.386930465698242188e-01
5.993002280592918396e-02 -1.533221155405044556e-01 -9.440630674362182617e-04 1.356664001941680908e-01
5.686357989907264709e-02 4.214398190379142761e-02 1.769265159964561462e-03 -1.646878570318222046e-01
5.770646035671234131e-02 2.375728636980056763e-01 -1.524491235613822937e-03 -4.642073214054107666e-01
6.245791912078857422e-02 4.281625896692276001e-02 -1.080863922834396362e-02 -1.795800626277923584e-01
6.331424415111541748e-02 -1.517953425645828247e-01 -1.440024003386497498e-02 1.020205318927764893e-01
6.027833744883537292e-02 -3.463511765003204346e-01 -1.235982775688171387e-02 3.824442327022552490e-01
5.335131287574768066e-02 -5.409430861473083496e-01 -4.710944369435310364e-03 6.635435819625854492e-01
4.253245145082473755e-02 -3.454376459121704102e-01 8.559927344322204590e-03 3.620525598526000977e-01
3.562369942665100098e-02 -1.501038372516632080e-01 1.580097898840904236e-02 6.463489681482315063e-02
3.262162208557128906e-02 4.513043910264968872e-02 1.709367707371711731e-02 -2.305291891098022461e-01
3.352423012256622314e-02 2.403461486101150513e-01 1.248309295624494553e-02 -5.252881050109863281e-01
3.833115100860595703e-02 4.538379609584808350e-02 1.977330073714256287e-03 -2.361601889133453369e-01
3.923882916569709778e-02 -1.494212001562118530e-01 -2.745874226093292236e-03 4.959290847182273865e-02
3.625040501356124878e-02 -3.441541790962219238e-01 -1.754015684127807617e-03 3.338165581226348877e-01
2.936732023954391479e-02 -5.389047861099243164e-01 4.922315478324890137e-03 6.183657050132751465e-01
1.858922466635704041e-02 -3.435256779193878174e-01 1.728963106870651245e-02 3.198288679122924805e-01
1.171871088445186615e-02 -1.483130455017089844e-01 2.368620783090591431e-02 2.513178065419197083e-02
8.752449415624141693e-03 4.680907353758811951e-02 2.418884262442588806e-02 -2.675549685955047607e-01
9.688631631433963776e-03 -1.483198702335357666e-01 1.883774437010288239e-02 2.528263255953788757e-02
6.722233723849058151e-03 -3.433717787265777588e-01 1.934339664876461029e-02 3.164280354976654053e-01
-1.452019205316901207e-04 -5.384314656257629395e-01 2.567195706069469452e-02 6.077343821525573730e-01
-1.091383025050163269e-02 -3.433371484279632568e-01 3.782664611935615540e-02 3.156737685203552246e-01
-1.778057403862476349e-02 -1.484192460775375366e-01 4.414012283086776733e-02 2.747970260679721832e-02
-2.074895799160003662e-02 4.640367627143859863e-02 4.468971490859985352e-02 -2.586841583251953125e-01
-1.982088573276996613e-02 2.412197589874267578e-01 3.951603174209594727e-02 -5.446729063987731934e-01
-1.499648950994014740e-02 4.587915167212486267e-02 2.862257324159145355e-02 -2.470484226942062378e-01
-1.407890673726797104e-02 -1.493127793073654175e-01 2.368160523474216461e-02 4.718365147709846497e-02
-1.706516183912754059e-02 -3.444344997406005859e-01 2.462527714669704437e-02 3.398613035678863525e-01
-2.395385131239891052e-02 -5.395696163177490234e-01 3.142250329256057739e-02 6.328364014625549316e-01
-3.474524617195129395e-02 -3.445562720298767090e-01 4.407922923564910889e-02 3.425959944725036621e-01
-4.163637012243270874e-02 -1.497301161289215088e-01 5.093115195631980896e-02 5.640902370214462280e-02
-4.463097080588340759e-02 4.499098286032676697e-02 5.205933004617691040e-02 -2.275588661432266235e-01
-4.373115301132202148e-02 2.396963983774185181e-01 4.750815406441688538e-02 -5.111625194549560547e-01
-3.893722593784332275e-02 4.424727708101272583e-02 3.728490322828292847e-02 -2.110725045204162598e-01
-3.805227950215339661e-02 -1.510662734508514404e-01 3.306345641613006592e-02 8.586511015892028809e-02
-4.107360541820526123e-02 -3.463211953639984131e-01 3.478075563907623291e-02 3.814879655838012695e-01
