d d_d theta d_theta
1.634584926068782806e-02 2.356795519590377808e-01 -4.453713074326515198e-02 -2.767358422279357910e-01
2.105944044888019562e-02 4.314558804035186768e-01 -5.007185041904449463e-02 -5.842475891113281250e-01
2.968855760991573334e-02 6.272888183593750000e-01 -6.175680086016654968e-02 -8.933862447738647461e-01
4.223433509469032288e-02 4.331134557723999023e-01 -7.962451875209808350e-02 -6.219916343688964844e-01
5.089660361409187317e-02 2.392485439777374268e-01 -9.206435084342956543e-02 -3.566865622997283936e-01
5.568157508969306946e-02 4.561004042625427246e-02 -9.919808804988861084e-02 -9.568581730127334595e-02
5.659377574920654297e-02 -1.478973627090454102e-01 -1.011117994785308838e-01 1.628267765045166016e-01
5.363582819700241089e-02 -3.413741290569305420e-01 -9.785526990890502930e-02 4.206764698028564453e-01
4.680834338068962097e-02 -1.449704319238662720e-01 -8.944173902273178101e-02 9.777100384235382080e-02
4.390893504023551941e-02 5.135497450828552246e-02 -8.748631924390792847e-02 -2.227967083454132080e-01
4.493603482842445374e-02 2.476544380187988281e-01 -9.194225072860717773e-02 -5.428062081336975098e-01
4.988912492990493774e-02 5.399830639362335205e-02 -1.027983725070953369e-01 -2.817400395870208740e-01
5.096909031271934509e-02 -1.394553482532501221e-01 -1.084331795573234558e-01 -2.446955628693103790e-02
4.817998409271240234e-02 -3.328047394752502441e-01 -1.089225709438323975e-01 2.308203279972076416e-01
4.152388870716094971e-02 -5.261515378952026367e-01 -1.043061614036560059e-01 4.859474301338195801e-01
3.100085817277431488e-02 -7.195961475372314453e-01 -9.458721429109573364e-02 7.427167892456054688e-01
1.660893484950065613e-02 -5.232643485069274902e-01 -7.973287999629974365e-02 4.207785725593566895e-01
6.143649108707904816e-03 -3.270649313926696777e-01 -7.131730765104293823e-02 1.029902994632720947e-01
-3.976495936512947083e-04 -1.309520006179809570e-01 -6.925749778747558594e-02 -2.123984098434448242e-01
-3.016689559444785118e-03 -3.249583840370178223e-01 -7.350546866655349731e-02 5.639235675334930420e-02
-9.515857324004173279e-03 -5.188925862312316895e-01 -7.237762212753295898e-02 3.237369954586029053e-01
-1.989370957016944885e-02 -7.128527164459228516e-01 -6.590288132429122925e-02 5.914762020111083984e-01
-3.415076434612274170e-02 -5.168283581733703613e-01 -5.407335981726646423e-02 2.776925563812255859e-01
-4.448733106255531311e-02 -3.209312856197357178e-01 -4.851951077580451965e-02 -3.265123814344406128e-02
-5.090595781803131104e-02 -1.251002997159957886e-01 -4.917253553867340088e-02 -3.413554131984710693e-01
-5.340796336531639099e-02 -3.194309771060943604e-01 -5.599964410066604614e-02 -6.581795960664749146e-02
-5.979658290743827820e-02 -5.136477351188659668e-01 -5.731600150465965271e-02 2.074328809976577759e-01
-7.006953656673431396e-02 -7.078458070755004883e-01 -5.316734313964843750e-02 4.802462756633758545e-01
-8.422645181417465210e-02 -9.021201133728027344e-01 -4.356241971254348755e-02 7.544627189636230469e-01
-1.022688522934913635e-01 -7.063789963722229004e-01 -2.847316488623619080e-02 4.472762942314147949e-01
-1.163964346051216125e-01 -5.108164548873901367e-01 -1.952763833105564117e-02 1.446141600608825684e-01
-1.266127675771713257e-01 -3.153690695762634277e-01 -1.663535647094249725e-02 -1.553190946578979492e-01
-1.329201459884643555e-01 -5.101933479309082031e-01 -1.974173821508884430e-02 1.308652311563491821e-01
-1.431240141391754150e-01 -7.049711346626281738e-01 -1.712443307042121887e-02 4.160467982292175293e-01
-1.572234332561492920e-01 -8.997911810874938965e-01 -8.803497999906539917e-03 7.020780444145202637e-01
-1.752192527055740356e-01 -7.044975757598876953e-01 5.238063633441925049e-03 4.054714739322662354e-01
-1.893092095851898193e-01 -5.093968510627746582e-01 1.334749255329370499e-02 1.132596060633659363e-01
-1.994971483945846558e-01 -3.144137859344482422e-01 1.561268512159585953e-02 -1.763784289360046387e-01
-2.057854235172271729e-01 -1.194636598229408264e-01 1.208511646836996078e-02 -4.652940332889556885e-01
-2.081746906042098999e-01 -3.147024512290954590e-01 2.779235597699880600e-03 -1.699941009283065796e-01
-2.144687473773956299e-01 -5.098105669021606445e-01 -6.206461694091558456e-04 1.223839595913887024e-01
-2.246649563312530518e-01 -7.048696875572204590e-01 1.827032770961523056e-03 4.136863350868225098e-01
-2.387623488903045654e-01 -8.999643921852111816e-01 1.010075956583023071e-02 7.057639360427856445e-01
-2.567616403102874756e-01 -7.049310803413391113e-01 2.421603724360466003e-02 4.150884151458740234e-01
