# Position , Speed, Angle, Angular speed, attack
4.481631889939308167e-02,-2.382462620735168457e-01,3.638217598199844360e-02,3.479660153388977051e-01,0.000000000000000000e+00
4.005139321088790894e-02,-4.360335320234298706e-02,4.334149882197380066e-02,6.575071811676025391e-02,0.000000000000000000e+00
3.917932510375976562e-02,1.509291827678680420e-01,4.465651139616966248e-02,-2.141810804605484009e-01,0.000000000000000000e+00
4.219790920615196228e-02,-4.475305974483489990e-02,4.037288948893547058e-02,9.112127870321273804e-02,0.000000000000000000e+00
4.130284860730171204e-02,-2.403803467750549316e-01,4.219531640410423279e-02,3.951315283775329590e-01,0.000000000000000000e+00
3.649524226784706116e-02,-4.360261857509613037e-01,5.009794607758522034e-02,6.996849775314331055e-01,0.000000000000000000e+00
2.777471765875816345e-02,-2.415764629840850830e-01,6.409164518117904663e-02,4.219464957714080811e-01,0.000000000000000000e+00
2.294318936765193939e-02,-4.735907912254333496e-02,7.253058254718780518e-02,1.488818526268005371e-01,0.000000000000000000e+00
2.199600823223590851e-02,1.467138975858688354e-01,7.550821453332901001e-02,-1.213322281837463379e-01,0.000000000000000000e+00
2.493028528988361359e-02,3.407382369041442871e-01,7.308157533407211304e-02,-3.905394077301025391e-01,0.000000000000000000e+00
3.174505010247230530e-02,1.447042375802993774e-01,6.527078151702880859e-02,-7.682637125253677368e-02,0.000000000000000000e+00
3.463913500308990479e-02,-5.124329403042793274e-02,6.373425573110580444e-02,2.346159368753433228e-01,0.000000000000000000e+00
3.361427038908004761e-02,-2.471687644720077515e-01,6.842657178640365601e-02,5.456017255783081055e-01,0.000000000000000000e+00
2.867089398205280304e-02,-5.301243811845779419e-02,9.929180145263671875e-02,2.739793062210083008e-01,1.000000000000000000e+00
2.761064469814300537e-02,1.409541070461273193e-01,1.047713905572891235e-01,6.063735112547874451e-03,1.000000000000000000e+00
3.042972646653652191e-02,3.348253965377807617e-01,1.048926636576652527e-01,-2.599786520004272461e-01,1.000000000000000000e+00
3.712623566389083862e-02,5.287000536918640137e-01,9.969308972358703613e-02,-5.259876251220703125e-01,1.000000000000000000e+00
4.770023748278617859e-02,3.325956165790557861e-01,6.922014802694320679e-02,-2.103590220212936401e-01,0.000000000000000000e+00
5.435214936733245850e-02,1.366015523672103882e-01,6.501296162605285645e-02,1.022380292415618896e-01,0.000000000000000000e+00
5.708418041467666626e-02,-5.934249237179756165e-02,6.705772876739501953e-02,4.136041104793548584e-01,0.000000000000000000e+00
5.589732900261878967e-02,1.348275691270828247e-01,7.532981038093566895e-02,1.415340304374694824e-01,0.000000000000000000e+00
